Timestamp,Temp_C,Poli_bar,Vbat_V,Brake,Dplus,RPM,Speed_kmh,Odo_km,PTrans_bar,TTrans_C,Cnt_Empty,Cnt_Loaded,HourMeter,Uptime_s,Alarm_Temp,Alarm_Poli,Alarm_Vbat
2026-05-18 15:24:28,0,0,0,0,0,0,0,0,0,0,0,0,9.0,917,0,1,1
2026-05-18 15:24:39,0,0,0,0,0,0,0,0,0,0,0,0,9.0,928,0,1,1
2026-05-18 15:24:45,0,0,0,0,0,0,0,0,0,0,0,0,9.0,934,0,1,1
2026-05-18 15:25:03,0,0,0,0,0,0,0,0,0,0,0,0,9.0,945,0,1,1
2026-05-18 15:25:14,0,0,0,0,0,0,0,0,0,0,0,0,9.0,962,0,1,1
2026-05-18 15:25:25,0,0,0,0,0,0,0,0,0,0,0,0,9.0,974,0,1,1
2026-05-18 15:25:31,0,0,0,0,0,0,0,0,0,0,0,0,9.0,980,0,1,1
2026-05-18 15:25:42,0,0,0,0,0,0,0,0,0,0,0,0,9.0,991,0,1,1
2026-05-18 15:25:52,0,0,0,0,0,0,0,0,0,0,0,0,9.0,1001,0,1,1
2026-05-18 15:26:05,0,0,0,0,0,0,0,0,0,0,0,0,9.0,1013,0,1,1
2026-05-18 15:26:15,0,0,0,0,0,0,0,0,0,0,0,0,9.0,1024,0,1,1
2026-05-18 15:26:21,0,0,0,0,0,0,0,0,0,0,0,0,9.0,1029,0,1,1
2026-05-18 15:26:32,0,0,0,0,0,0,0,0,0,0,0,0,9.0,1041,0,1,1
2026-05-18 15:26:43,0,0,0,0,0,0,0,0,0,0,0,0,9.0,1052,0,1,1
2026-05-18 15:26:55,0,0,0,0,0,0,0,0,0,0,0,0,9.0,1063,0,1,1
2026-05-18 15:27:07,0,0,0,0,0,0,0,0,0,0,0,0,9.0,1075,0,1,1
2026-05-18 15:27:18,0,0,0,0,0,0,0,0,0,0,0,0,9.0,1086,0,1,1
2026-05-18 15:27:28,0,0,0,0,0,0,0,0,0,0,0,0,9.0,1097,0,1,1
2026-05-18 15:27:39,0,0,0,0,0,0,0,0,0,0,0,0,9.0,1109,0,1,1
2026-05-18 15:27:51,0,0,0,0,0,0,0,0,0,0,0,0,9.0,1120,0,1,1
2026-05-18 15:28:01,0,0,0,0,0,0,0,0,0,0,0,0,9.0,1130,0,1,1
2026-05-18 15:28:13,0,0,0,0,0,0,0,0,0,0,0,0,9.0,1141,0,1,1
2026-05-18 15:28:24,0,0,0,0,0,0,0,0,0,0,0,0,9.0,1153,0,1,1
2026-05-18 15:28:34,0,0,0,0,0,0,0,0,0,0,0,0,9.0,1163,0,1,1
2026-05-18 15:28:44,0,0,0,0,0,0,0,0,0,0,0,0,9.0,1173,0,1,1
2026-05-18 15:28:55,0,0,0,0,0,0,0,0,0,0,0,0,9.0,1184,0,1,1
2026-05-18 15:29:02,0,0,0,0,0,0,0,0,0,0,0,0,9.0,1190,0,1,1
2026-05-18 15:29:16,0,0,0,0,0,0,0,0,0,0,0,0,9.0,1205,0,1,1
2026-05-18 15:29:27,0,0,0,0,0,0,0,0,0,0,0,0,9.0,1216,0,1,1
2026-05-18 15:29:38,0,0,0,0,0,0,0,0,0,0,0,0,9.0,1227,0,1,1
2026-05-18 15:29:49,0,0,0,0,0,0,0,0,0,0,0,0,9.0,1237,0,1,1
2026-05-18 15:29:59,0,0,0,0,0,0,0,0,0,0,0,0,9.0,1249,0,1,1
2026-05-18 15:30:04,0,0,0,0,0,0,0,0,0,0,0,0,9.0,1254,0,1,1
2026-05-18 15:30:14,0,0,0,0,0,0,0,0,0,0,0,0,9.0,1264,0,1,1
2026-05-18 15:30:25,0,0,0,0,0,0,0,0,0,0,0,0,9.1,1274,0,1,1
2026-05-18 15:30:31,0,0,0,0,0,0,0,0,0,0,0,0,9.1,1279,0,1,1
2026-05-18 15:30:38,0,0,0,0,0,0,0,0,0,0,0,0,9.1,1287,0,1,1
2026-05-18 15:30:43,0,0,0,0,0,0,0,0,0,0,0,0,9.1,1293,0,1,1
2026-05-18 15:30:54,0,0,0,0,0,0,0,0,0,0,0,0,9.1,1303,0,1,1
2026-05-18 15:31:05,0,0,0,0,0,0,0,0,0,0,0,0,9.1,1314,0,1,1
2026-05-18 15:31:10,0,0,0,0,0,0,0,0,0,0,0,0,9.1,1319,0,1,1
2026-05-18 15:31:22,0,0,0,0,0,0,0,0,0,0,0,0,9.1,1331,0,1,1
2026-05-18 15:31:32,0,0,0,0,0,0,0,0,0,0,0,0,9.1,1341,0,1,1
2026-05-18 15:31:37,0,0,0,0,0,0,0,0,0,0,0,0,9.1,1346,0,1,1
2026-05-18 15:31:49,0,0,0,0,0,0,0,0,0,0,0,0,9.1,1357,0,1,1
2026-05-18 15:32:01,0,0,0,0,0,0,0,0,0,0,0,0,9.1,1370,0,1,1
2026-05-18 15:32:11,0,0,0,0,0,0,0,0,0,0,0,0,9.1,1381,0,1,1
2026-05-18 15:32:16,0,0,0,0,0,0,0,0,0,0,0,0,9.1,1386,0,1,1
2026-05-18 15:32:22,0,0,0,0,0,0,0,0,0,0,0,0,9.1,1391,0,1,1
2026-05-18 15:32:34,0,0,0,0,0,0,0,0,0,0,0,0,9.1,1402,0,1,1
2026-05-18 15:32:44,0,0,0,0,0,0,0,0,0,0,0,0,9.1,1414,0,1,1
2026-05-18 15:32:51,0,0,0,0,0,0,0,0,0,0,0,0,9.1,1419,0,1,1
2026-05-18 15:33:01,0,0,0,0,0,0,0,0,0,0,0,0,9.1,1431,0,1,1
2026-05-18 15:33:16,0,0,0,0,0,0,0,0,0,0,0,0,9.1,1442,0,1,1
2026-05-18 15:33:29,0,0,0,0,0,0,0,0,0,0,0,0,9.1,1456,0,1,1
2026-05-18 15:33:41,0,0,0,0,0,0,0,0,0,0,0,0,9.1,1470,0,1,1
2026-05-18 15:33:54,0,0,0,0,0,0,0,0,0,0,0,0,9.1,1481,0,1,1
2026-05-18 15:34:06,0,0,0,0,0,0,0,0,0,0,0,0,9.1,1493,0,1,1
2026-05-18 15:34:17,0,0,0,0,0,0,0,0,0,0,0,0,9.1,1506,0,1,1
2026-05-18 15:34:28,0,0,0,0,0,0,0,0,0,0,0,0,9.1,1516,0,1,1
2026-05-18 15:34:39,0,0,0,0,0,0,0,0,0,0,0,0,9.1,1528,0,1,1
2026-05-18 15:42:34,0,0,0,0,0,0,0,0,0,0,0,0,9.1,8,0,1,1
